NO;SOAL;A;B;C;D;E;KUNCI;PEMBAHASAN;
108;Ny. Tina adalah seorang ibu rumah tangga yang berusia 29 tahun, status obstetric G3P2AO, usia kehamilan 5 bulan, dan mengalami anemia ringan. Semua persalinan yang lalu ditangani oleh dukun. Selama ini, ibu belum pernah menggunakan alat kontrasepsi. Anak pertama tercatat sebagai balita BGM. Anak-anaknya serang hanya diberi makanan berupa nasi dan kecap. Sementara itu, anak kedua baru berusia 11 bulan dan belum pernah diimunisasi, namun ibu masih memberikan ASI. Di rumah pasien terdapat banyak sampah, kecoa, dan tikus. Selain itu, pekerjaan suami Ny. Tina sekarang ini adalah seorang buruh tani. Risiko kebidanan yang bisa terjadi pada Ny. Tina adalahÉ.;Gangguan hubungan;Gangguan perkembangan bahasa;Pendarahan saat persalinan;Gangguan perkembangan intelegensi dan motoric;Defisienzi zat besi;3;;
109;Ny. Tina adalah seorang ibu rumah tangga yang berusia 29 tahun, status obstetric G3P2AO, usia kehamilan 5 bulan, dan mengalami anemia ringan. Semua persalinan yang lalu ditangani oleh dukun. Selama ini, ibu belum pernah menggunakan alat kontrasepsi. Anak pertama tercatat sebagai balita BGM. Anak-anaknya sering hanya diberi makanan berupa nasi dan kecap. Sementara itu, anak kedua baru berusia 11 bulan dan belum pernah diimunisasi, namun ibu masih memberikan ASI. Di rumah pasien terdapat banyak sampah, kecoa, dan tikus. Selain itu, pekerjaan suami Ny. Sari sekarang ini adalah seorang buruh tani. Tugas keluarga dari kasus diatas setelah pasien melahirkan anak ketiga adalahÉ.;Bergotong royong untuk menjaga kebersihan rumah;Mencari informsai tentang KB yang cocok;Mengetahui masalah yang dihadapi keluarga;Membawa anaknya untuk segera imunisasi hepatitis;Memanfaatkan pelayanan kesehatan untuk persalinan;2;Tugas keluarga setelah pasien melahirkan anak keenam adalah segera mencari informasi tentang KB yang cocok. Tujuan menggunakan kontrasepsi adalah untuk menunda dan memberikan jarak usia anak atau menghentikan kehamilannya. Kontrasepsi yang tepat bagi pasien di atas adalah kontrasepsi permanen (tubektomi) sehingga sang ibu dan suami dapat fokus mengurus anak-anak mereka yang masih kecil.;
110;Ny. Tina adalah seorang ibu rumah tangga yang berusia 29 tahun, status obstetric G3P2AO, usia kehamilan 5 bulan, dan mengalami anemia ringan. Semua persalinan yang lalu ditangani oleh dukun. Selama ini, ibu belum pernah menggunakan alat kontrasepsi. Anak pertama tercatat sebagai balita BGM. Anak-anaknya sering hanya diberi makanan berupa nasi dan kecap. Sementara itu, anak kedua baru berusia 11 bulan dan belum pernah diimunisasi, namun ibu masih memberikan ASI. Di rumah pasien terdapat banyak sampah, kecoa, dan tikus. Selain itu, pekerjaan suami Ny. Tina sekarang ini adalah seorang buruh tani. Hal yang termasuk faktor risiko pada kasus Ny. Tina adalahÉÉ;Grande mutipara/paritas;Sanitasi buruk;Risiko kehamilan pada usia lebih dari 35 tahun;Defisiensi zat besi;Semua jawaban benar;5;;
111;Hal yang tidak termasuk masalah kebidanan komunitas adalahÉ..;Pekerjaan ibu;Terjadinya gizi yang lebih buruk pada anak keempat;Timbulnya penyakit akibat sampah dan faktor penyakit;Timbulnya penyakit yang dapat dicegah dengan imunisasi;Risiko anemia berat;1;;
112;Status perkembangan bayi tidak terlepas dari refleks perlindungan alamiah dari dalam tubuhnya. Suatu usaha yang memberikan zat kekebalan kepada anak terhadap suatu penyakit tertentu merupakan pengertian dari;Antigen;Anibodi ;Imunoglobulin;Vaksin;Imunisasi;5;;
113;Seorang ibu berusia 32 tahun postpartum empat hari dirawat di rumah sakit. Pasien mengatakan bayinya sudah menyusui dengan lancar. Hasil pemeriksaan keadaan umum ibu dan bayi baik sehingga hari ini sudah boleh pulang. Konseling yang tepat diberikan bidan kepada pasien tersebut adalah;Pencegahan infeksi;Perawatan tali pusat;Imunisasi;Tanda bahaya pada bayi baru lahir;Asi Ekslusif;5;Konseling ini diberikan agar ibu hanya memberikan ASI serta tidak menambahkan makanan dan minuman apapun termasuk air putih pada bayi sebelum berumur lebih dari enam bulan;
114;Pernafasan normal pada bayi adalah;20 - 40 kali per menit;40 - 60 kali permenit;60 - 80 kali permenit;80 - 100 kali permenit;110 - 130 kali permenit;2;;
115;Lembaga yang memiliki kewenangan dalam memutuskan ada atau tidaknya pelanggaran terhadap tugas yang dilakukan oleh profesi bidan serta bertugas menentukan sanksi bagi yang melanggar adalah;IDAI;MUI;IAKMI ;MDK;IDI;4;Majelis Disiplin Kebidanan adalah lembaga yang memiliki kewenangan dalam memutuskan ada atau tidaknya pelanggaran terhadap tugas yang dilakukan oleh profesi bidan serta bertugas menentukan sanksi bagi yang melanggar;
116;Peraturan MenKes RI nomor 1464 tahun 2010 mengatur tentang ;STR bidan;Kompetensi praktik bidan;Izin praktik mandiri bidan;Izin dan penyelenggaraan praktik bidan;Organisasi profesi kebidanan;4;;
117;Seorang wanita usia 29 tahun datang ke rumah sakit mengeluh sesak nafas dan merasa berat untuk bernafas. Hal ini disebabkan oleh perubahan kadar gas dalam darah atau jaringan, aktivitas berat dan pengaruh psikis pasien. Dari data diatas  diagnosa yang dapat ditegakkan pada pasien tersebut adalah;Hipoventilasi;Ortopnea;Dispnea;Cheyne-stokes;Stridor;3;Dispnea adalah kesulitan bernafas karena suplai oksigen yang masuk tidak cukup untuk memenuhi kebutuhan tubuh sehingga menimbulkan sesak nafas. Faktor yang menyebabkan dispnea antara lain keturunan, aktifitas pasien, lingkungan, asupan cairan, kelelahan dan kondisi psikis pasien ;
118;Seorang perempuan berusia 27 tahun hamil anak pertama dengan usia kehamilan 13 minggu datang ke BPM dengan keluhan perut terasa mulas keluar darah sedikit dari jalan lahir. Hasil palpasi TFU sesuai dengan usia kehamilan. Pemeriksaan dalam terdapat perdarahan dari kanalis servikalis dan kanalis masih tertutup. Anjuran yang sebaiknya bidan berikan kepada perempuan tersebut adalah;Banyak makan;Pemeriksaan USG;Pemeriksaan CTG;Istirahat baring;Pemeriksaan rontgen;4;Istirahat baring sangat penting pada kasus ini. Dengan istirahat baring aliran darah akan lebih baik dan rangsangan mekanik pada pasien juga berkurang. Selain itu pasien juga tidak diperbolehkan melakukan aktifitas berat dan melakukan hubungan seksual;
119;Sebagai seorang peneliti bidan bertugas untuk;Memproses masalah;Menyusun rencana kerja dan melaksanakan investigasi;Memajukan ilmu pengetahuan ;Menilai praktik klinik;Mengumpulkan data penelitian;2;Salah satu tugas bidan sebagai peneliti adalah menyusun rencana kerja dan melaksanakan investigasi;
120;Berikut ini yang bukan merupakan ruang lingkup bidan sebagai pelaksana adalah;Posyandu;Puskesmas ;Rumah bersalin;Identifikasi resiko tinggi;Polindes;4;;
121;Ny. Miranti G3P1A1 datang ke BPM pada pukul 12.00WIB dengan keluhan merasakan mulas namun belum ada keinginan untuk meneran. Hasil pemeriksaan menunjukkan pembukaan telah lengkap dengan ketuban masih utuh. Selain itu kepala turun Hodge III dan Djj 142 kali/ menit. HIS 3x/ menit dengan lama 45 detik. Untuk membantu penurunan kepala janin posisi yang tepat adalah;Terlentang;Duduk ;Berdiri;Miring Kiri;Litotomi;3;Untuk membantu penurunan kepala janin posisi yang tepat adalah berdiri. Posisi persalinan mempengaruhi adaptasi anatomi dan fisiologi persalinan. Bidan harus membantu ibu agar tetap tenang dan rileks dengan demikian ibu dapat memilih posisi meneran sesuai dengan kenyamanan dan keamanan. ;
122;Ny. Miranti G3P1A1 datang ke BPM pada pukul 12.00WIB dengan keluhan merasakan mulas namun belum ada keinginan untuk meneran. Hasil pemeriksaan menunjukkan pembukaan telah lengkap dengan ketuban masih utuh. Selain itu kepala turun Hodge III dan Djj 142 kali/ menit. HIS 3x/ menit dengan lama 45 detik. Pada patograf simbol pengisian air ketuban adalah;U;M;K;J;D;1;Pada patograf simbol pengisian air ketuban yaitu U. Bidan harus melakukan penilaian air ketuban setiap kali dilakukan pemeriksaan dalam. Bidan juga harus menilai warna air ketuban yang pecah. Simbol yang biasa digunakan pada patograf antara lain : 1. U (utuh) Ketuban utuh dan belum pecah 2. J (Jernih) Ketuban sudah pecah dan air ketuban jernih 3. M (Mekonium) Ketuban sudah pecah dan air ketuban bercampur mekonium 4. D (Darah) Ketuban sudah pecah dan bercampur darah. 5. K ( Kering) Ketuban sudah pecah dan tidak ada air ketuban atau kering;
123;Ny. Miranti G3P1A1 datang ke BPM pada pukul 12.00WIB dengan keluhan merasakan mulas namun belum ada keinginan untuk meneran. Hasil pemeriksaan menunjukkan pembukaan telah lengkap dengan ketuban masih utuh. Selain itu kepala turun Hodge III dan Djj 142 kali/ menit. HIS 3x/ menit dengan lama 45 detik. Tindakan yang dapat dilakukan oleh bidan adalah;VT ;Merujuk ke RS;Pecahkan ketuban;Menganjurkan tiduran;Memimpin mengejan;3;Tindakan yang tepat yang dapat dilakukan oleh bidan dalam proses persalinan adalah memecahkan ketuban. Tindakan ini dilakukan bidan apabila kondisi selaput ketuban masih utuh namun ada dorongan besar. Tujuan pecah ketuban adalah agar persalinan bertambah cepat, deteksi dini kasus keracunan mekonium pada cairan amnion.;
124;Seorang anak balita berusia 3 tahun dibawa oleh ibunya ke klinik perkembangan untuk melakukan tes perkembangan, ibu mengatakan bahwa anaknya sering terlihat marah dan menentang lingkungan. Alat bantu atau tes yang akan dilakukan pada anak tersebut adalah ;KPSP ;SDIDTK;CHAT;TDD;KMME;5;Data fokus pada kasus ini adalah anak sering terlihat marah dan menentang lingkungan Tes yang akan dilakukan pada anak disebut dengan Kuesioner Masalah Mental Emosional (KMME). Tes ini terdiri dari 12 pertanyaan untuk mengenali masalah mental emosional anak yang berusia 36 - 72 bulan.;
125;Ny. J usia 23 tahun datang ke Bidan praktik mandiri dengan keluhan tidak mesntruasi dalam waktu 1 bulan terakhir dan juga mengalami mual muntah terutama di pagi hari. Keluhan yang dialami Ny. J adalahÉ.;Tanda pasti hamil;tanda kemungkinan hamil;tanda tidak pasti kehamilan;tanda dugaan hamil;tanda awal kehamilan;3;"Stase     : Asuhan kehamilan
Kunci masalah    : tanda tidak pasti kehamilan
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : kognitif 
Konsep teori   : menurut Rukiah (2009), gejala tidak pasti kehamilan (keluhan pasien) antara lain amenorhea, mual dan muntah, mengidam, pingsan, mammae menjadi tegang dan membesar aoreksia, hipertrofi dari papilla gusi, perubahan pada perut, serta keputihan.
Penyelesaian   : keluhan Ny. J yaitu tidak menstruasi dalam 1 bulan terkhir dan juga mengalami mual muntah, termasuk dalam tanda kehamilan.
";
126;Ny. O G1P5A5 usia 27 tahun hamil 16 minggu, datang ke Bidan Praktik Mandiri dengan keluhan mengeluarkan darah dari jalan lahir dan jumlahnya banyak. Selain itu, perutnya juga terasa nyeri. Hasil pemeriksaan: uterus sesuai kehamilan, jumlah pendarahan sedang, serviks terbuka, dan tidak ada ekspuisi jaringan konsepsi. Diagnosa kasus pada Ny. O adalah...;abortus imminens;aborus insipens;abortus inkomplit;abortus komplit;missed abortion;2;"Stase     : Asuhan kehamilan
Kunci masalah    : Pedarahan Antepartum
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : kognitif 
Konsep teori   : tanda gejala abortus insipiens menurut Kemenkes RI (2016), yaitu sebgai berikut:
a. Perdarahan sedang-banyak
b. Nyeri perut sedang Ğ hebat
c. Uterus sesuai usia kehamilan
d. Serviks terbuka
e. Tidak ada ekspulsi jarinan konsepsi
Penyelesaian   : nyeri perut, uterus sesuai kehamilan, peradrahan sedang, serviks terbuka, dan tidak ada ekspulsi jaringan konsepsi, menunjukan bahwa Ny.O mengalami abortus insipens.
";
127;Seorang bayi baru saja lahir spontan di bidan Praktik Mandiri. Hasil pemeriksaan bayi tersebut menangis spontan, kulit kemerahan, dan tidak ada kelainan. Bidan mengetuk halus pada glabella, sehingga mata bayi menutup. Refleks pada bayi tersebut adalahÉ.;corneal;pupil;glabella;ekstrusi;stratle;3;"Stase     : Asuhan bayi baru lahir
Kunci masalah    : Refleks pada bayi
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : Diagnosa
Konsep teori   : salah satu refleks fisiologis bayi baru lair ditunjukan oleh mata adalah glabela, jika ada ketukan halus pada glabela (bagian dahi antara dua alis mata) maka akan menyebabkan mata menutup dengan rapat. (Putra, 2012)
Penyelesaian   : refleks yang ditunjukan bayi saat bidan mengetuk halus pada glabella yaitu refleks glabella.
";
128;Seorang bayi yang baru lahir sedang dilakukan perawatan di Bidan Praktek Mandiri. Bayi tersebut akan diantropometri sehingga bayi diletakkan di atas timbangan, tetapi timbangan tersebut tidak diberikan pengalas. Mekanisme kehilangan panas yang dapat terjadi pada bayi tersebut adalah...;konduksi;konveksi;evaporasi;radiasi;inhibisi;1;"Stase     : Asuhan bayi baru lahir
Kunci masalah    : mekanisme kehilangan panas pada bayi
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : Diagnosa
Konsep teori   : menurut Saifuddin (2010), bayi kehilangan panas melauli empat cara, yaitu sebagai berikut:
a. Konduksi : melalui benda-benda padat yang berkontak dengan kulit bayi
b. Konveksi : melalui aliran udara sekitar bayi
c. Evaporasi : kehilangan panas melalui penguapan air pada kullit bayi yang basah
d. Radiasi : melalui benda padat dekat bayi yang tidak berkontak secara langsung dengan kulit bayi.
Penyelesaian   : sesuai kasus, bayi dapat terkena hipotermia secara konduksi karena kontak langsung dengan benda padat, yaitu timbangan. Jadi, mekanisme kehilangan panas yang dimaksud adalah konduksi.
";
129;Ny. S P2A2 pospartum 6 hari, mengeluh anak pertamanya yang berusia 3 tahun sering menagis rewel, dan memukul adiknya tanpa sebab. Tindakan untuk menangani kasus tersebut adalahÉ.;menasehati anak pertamanya;mencari pengasuh untuk anaknya;memisahkan antara kakak dan adik;berkonsultasi dengan psikolog;melibatkan sang kakak dalam pengasuhan anak;1;"Stase     : Asuhan bayi, balita, dan anak pra-sekolah
Kunci masalah    : penanganan sibling rivalry
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : implementasi
Konsep teori   : cara mengatasi sibiling rivalry menurut Armini, dkk (2017) adalah sebagai berikut:
a. Tidak membandingkan antara anak satu sama lain
b. Membiasakan anak menjadi diri pribadi mereka sendiri
c. Menyukai bakat dan kebrhasilan anak-anak anda
d. Membuat anak-anak mampu bekerja sama daripada bersaing antara satu sama lain
e. Memberikan perhatian setiap waktu atau pola lain ketika konflik biasa terjadi
f. Mengajarkan anak-anak anda cara-cara positif untuk mendapatkan perhatian dari satu sama lain
g. Bersikap adil sangat penting, tetapi disesuaikan dengan kebutuhan anak, sehingga adil bagi anak satu dengan lainnya berbeda.
h. Merencanakan kegiatan keluarga yang menyenangkan bagi semua orang
i. Menyakinkan setiap anak mendaptkan waktu yang cukup dan kebebsan mereka sendiri.
Penyelesaian   : dalam kasus tersebut, hal yang dapat dilakukan orang tua adalah tidak memarahi anaknya, tetapi memberikan pengertian dan nasihat secara halus kepada anak dan juga meyakinkan bahwa anak pertam tidak akan kehilangan perhatian dari orang tuanya.
";
130;Ny. A usia 43 tahun P1 A0 mengeluh pusing, berkeringat pada malam hari, pipi terasa panas jika malam hari, dan sudah tidak haid selama 2 bulan. Tahapan yang sedang dialami oleh Ny.A adalahÉ.;senium;menopouse;klimakterium;premenopouse;pascamenopouse;3;"Stase     : kesehatan reproduksi
Kunci masalah    : tana-tanda klimakterium
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : diagnosa
Konsep teori   : klimakterium merupkan masa peralihan antara masa reproduksi dan masa senium. Biasanya masa ini disebut juga pramenopouse antara usia 40 tahun dengan siklus haid yang tidak teratur dengan perdarahan haid yang memanjang dan relatif banyak (Suparni, 2016)
Penyelesaian   : keluhan yang dialami Ny. A yaitu berkeringat dimalam hari, pipi terasa panas jika malam hari merupakan hot flushes yang menandakan masa klimakterium.
";
131;Ny. K usia 29 tahun P2A0 baru saja melahirkan bayinya 20 menit yang lalu. Plasenta lahir lengkap 5 menit kemudian. Setelah dilakukan pemeriksaan, ternyata terdapat laserasi pada otot perineum hingga sfingter ani. Derjat berapakah laserasi pada Ny. K É ?;1;2;3;4;4+;3;"Stase     : asuhan persalinan
Kunci masalah    : derajat laserasi perineum
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : diagnosa
Konsep teori   : laserasi serajat tiga melipui mukosa vagina, komisura posterior, kulit perineum, otot perinium dan oto sfingter ani. (Depkes RI, 2010)
Penyelesaian   : menurut teori, laserasi sampai ke otot sfingter ani merupakan laserasi peinieum derajat 3.
";
132;Ny. S 48 tahun P1A0 mengeluh akhir-akhir ini setiap malam hari merasakan semburan panas pada wajah yang menjalar ke leher dan dada yang menyebabkan keringat. Keluhan yang dialami oleh Ny.S adalahÉ.;hot flush;demam;hipertermi;senium;menopouse;1;"Stase     : kesehatan reproduksi
Kunci masalah    : Ketidaknyamanan Masa Menopause
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : diagnosa
Konsep teori   : Hot flush beberapa derajat dan berkeringat dipandang sebagai ciri khas klimakterium yang dialami oleh sebagian besaar perempuan pasca menopause, berupa dimulainya kulit kepala, leher dan dada kemerahan secara mendadak disertai perasaan panas yang hebat dan kadang - kadang diakhiri dengan berkeringat banyak lebih sering dan berat dimalam hari
Penyelesaian   : Ny. S merupakan tanda dan gejala hot flush salah satu gangguan menjelang menopause
";
133;Nn. R usia 20 tahun datang ke Bidan praktik mandiri dengan keluhan dalam 3 bulan terakhir haidnya tidak terarur dan saat haid darahnya berjumlah banyak dan lama kurang lebih 13 hari. Kondisi yang dialami Nn. R adalahÉ..;polimenorea;oligomenoria;menoragia;metroragia;menometroragia;4;"Stase     : kesehatan reproduksi
Kunci masalah    : gangguan menstruasi
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : diagnosa
Konsep teori   : metrogia adalah gangguan haid jika interval tidak teratur dengan jumlah darah dan durasi lebih dari normal. Karakteristik haid normal yaitu durasi 4-7 hari, jumlaha darah 30-80ml, dan interval 24-35 hari (Baziad, 2011)
Penyelesaian   : Ny. R haid tidak terartur, jumlah darah banyak (berarti melebihi 80ml) dan lama haid panjang, yaitu 13 hari merupakan tanda bahwa Ny.R mengalami metroragia.
";
134;An. B usia 3 bulan datang ke posyandu, untuk melakukan penimbangan. Hasil penimbangan BB 5kg dn An.B dalam keadaan sehat. Imuniasai yang sesuai dengan usia An. B adalahÉ..;Hb-O;BCG + Polio 1;DPT - HB - Hib 1 + Polio 2;DPT - HB - Hib 2 + Polio 3;DPT - HB - Hib 3 + Polio 4;4;"Stase     : asuhan bayi, balita, dan anak pra-sekolah
Kunci masalah    : jadwal imunisasi
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : perencanaan
Konsep teori   : menurut Sembing (2017), jadwal imunisasi untuk anak usia 3 bulan adalah DPT-HB-Hib2+polio3
Penyelesaian   : usia An. B adalah 3 bulan yang mana jadwal imunisasi adalah DPT-HB-Hib2+polio3.
";
135;Ny. F usia 48 tahun datang ke Bidan Praktik mandiri dengan keluhan sudah tidak haid sejak 3 bulan lalu dan jika melakukan hubungan dengn suami terasa nyeri. Penatalaksanaan yang tepat untuk kasus Ny. F adalahÉ.;rutin senam kegel;memberikan obat analgetik;memberikan obat antibiotik;terapi sulih hormon;menggunakan gel pada saat berhubungan;5;"Stase     : kesehatan reproduksi
Kunci masalah    : penanganan ketidaknyamanan menopouse
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : diagnosa
Konsep teori   : menurut Baziad (2011), karena kehabisan esterogen, vagina kehilangan kolagen, jaringan adipose, dan kemampuan untuk mempertahankan air. HRT dapat mengatasi kekringan vagina, terutama ketika digunakan untuk krim atau tablet vagina di organ genetial. Namun demikian, pelumas atau pelembab vagina mungkin menawawrkan solusi langsung untuk mengatasi kekeringan vagina. Jelly tersebut jika dioleskan sebelum berhubungan seksual, dapat membantu mengjilangkan kekeringan untuk semebntara dan membuat hubungan seksual nyaman. Jika digunakan teratur selama beberapa hari akan menempel di dinding vagina dan akan membuat vagina lembab dalam waktu lama (Astikawati, 2017)
Penyelesaian   : keluhan Ny.F disebabkan karena penurunan hormon esterogen, sehingga menyebabkan vagina menjadi kering dan nyeri pada saat berubungan. Oleh karena itu untuk mengunkan gel sebagai pelumas ketika berhubungan.
";
136;Nn. D usia 17 tahun datang ke Bidan Praktek Mandiri denga keluhan nyeri perut saat haid hingga ke bagian punggung, dan juga merasa mual. Diagnosa kasus pada Nn. D adalahÉ..;amenorea;metarogia;dismenorea;polimenorea;oligomenoria;3;"Stase     : kesehatan reproduksi
Kunci masalah    : gangguan menstruasi
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : diagnosa
Konsep teori   : disminorea adalah nyeri saat haid, biasanya hanya rasa kram dan terpuat pada abdomen bawa. Disminorea primer sering diikuti dengan keluhan mual, muntah, diare, nyeri kepala, dan pada pemeriksaan ginekologi tidak ditemukan kelainan. (Baziad, 2011)
Penyelesaian   : Ny.D menunjukan gejala disminore, yang paling menonjol ada;ah nyeri pada saat haid dan gejala menyertai adalah mual.
";
137;Lembaga yang memiliki kewenangan dalam memutuskan ada atau tidaknya pelanggaran terhadap tugas yang dilakukan oleh profesi bidan serta bertugas menentukan sanksi bagi yang melanggar adalah;IDAI;MUI;IAKMI ;MDK;IDI;4;Majelis Disiplin Kebidanan adalah lembaga yang memiliki kewenangan dalam memutuskan ada atau tidaknya pelanggaran terhadap tugas yang dilakukan oleh profesi bidan serta bertugas menentukan sanksi bagi yang melanggar;
138;Refleks penting dalam mekanisme isapan bayi yang akan timbul apabila langit-langit mulut bayi tersentuh oleh puting disebut;Refleks prolaktin;Refleks let down;Refleks rotting;Refleks menelan;Sucklingreflex (refleks mengisap);5;Sucklin reflex (refleks megisap) adalah refleks yang timbul apabila langit-langit mulut bayi menyentuh putting. Untuk itu, mulut bayi harus mencapai sebagian besar areola. Pada saat itu, gusi, lidah, dan palatum bayi menekan sinus laktiferus yang berada di bawah areola. hal ini yang menyebabkan ASI keluar.;
139;Ny. T usia 32 tahun P2A0 datang ke Puskesmas dengan keluhan kemluannya gatal dan juga bau. Dari hasil pemeriksaan didapatkan vagina oedem terdapat pengeluaran cairan berwarna kuning kehijauan dan berbusa. Diagnosa kasus Ny. T adalah É.;sifilis;gonorea;kandidiasis;trikomonas;vaginasis bacterial;4;"Stase     : kesehatan reproduksi
Kunci masalah    : penyakit menular seksual
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : diagnosa
Konsep teori   : tanda dan gejala yang muncul pada trikomonosiasis menurut Kemenkes RI (2016) adalah duh tubuh vagina kuning kehijauan dan berbusa, vagina bau dan gatal, edema atau eritema vagina, strawbery cervix
Penyelesaian   : keluhan Ny.T sesuai degan gejalaa trikominosis.
";
140;Ny. F usia 23 tahun G1P2A0 hamil 6 bulan datang ke RS dengan keluhan nyeri perut bagian bawah dan keluar darah berwrna merah tua dari jalan lahir. Hasil pemeriksaan: TD 100/60 mmHg, nadi 86x/menit, dan suhu 36,8 C. Diagnosa kasus pada Ny. K adalah ÉÉ.;vasa previa;plasenta previa;solusio plasenta;retemsio plasenta;mola hidatidosa;3;"Stase     : asuhan kehamilan
Kunci masalah    : perdarahan antepartum
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : diagnosa
Konsep teori   : menurut Saifuddin (2010), gejala dan tanda klinis yang klasik dari solusio plasenta adalah terjadinya perdarahan yang berwarna tua keluar dari vagina, rasa nyeri perut, dan uterus tegang terus-menerus.
Penyelesaian   : keluhan yang menunjukan solusio plasenta adalah pengeluaran darah berwrna merah tua dan nyeri perut bagian bawah.
";
141;"Di bawah ini merupakan hal yang meningkatkan refleks let down adalah
";Perasaan takut;Bingung;Ibu dalam kondisi stres;Pelihat bayi dengan kasih sayang;Memikirkan untuk menyapih;4;Tindakan ibu yang melihat bayi dengan kasih sayang akan meingkatkan refleks let down ( refleks aliran ). Hal - hal yang dapat meingkatkan refleks ini di antaranya dengan ibu melihat, mencium, dan memperhatikan bayi, mendengarkan suara bayi, serta memiliki niat atau berfikiran untuk menyusui bayinya. ;
142;Ny. C usia 20 tahun G1P2A2 hamil 5 minggu datang ke bidan dengan keluhan mual muntah. Hasil pemeriksaan KU ibu baik, TTV dalam keadaan normal. Konseling yang tepat untuk Ny. C adalahÉ..;istirahat cukup;nutrisi ibu hamil;ketidaknyamanan kehamilan;tanda bahaya kehamilan;makan sedikit tapi sering;5;"Stase     : asuhan kehamilan
Kunci masalah    : penanganan mual muntah
Kompetensi    : keterampilan klinik dlam praktik kebidanan
Tinjauan (sub kompetensi)  : konseling pendidikan kesehatan
Konsep teori   : menurut Rukiah (2009), mual muntah disebabkan oleh respon terhadap hormon dan merupakan pengaruh fisiologi. Untuk asuhannya, berikan nasehat tentang gizi, makan sedikit-sedikit tapi sering serta makan makanan padat sebelum bangkit dari berbaring.
Penyelesaian   : oleh karena mual muntah pada Ny. C merupakan hal yang fisiologis dikehamilan TM 1, asuhan yang tepat adalah memberikan konseling makan sedikit tapi sering.
";
143;Ny. H usia 32 tahun saat berhubungan dengan suaminya merasa puas ketika suaminya berbuat kasar padanya. Kelainan seksual yang dialami oleh Ny. H adalah;sadisme;masokisme;eksbisionisme;fethikisme;voyeurisme;2;"Stase     : kesehatan reproduksi
Kunci masalah    : kelainan seksual
Kompetensi    : pengembangan diri dan profesionalisme
Tinjauan (sub kompetensi)  : peran bidan
Konsep teori   : masokisme adalah bila seseorang yang mendapat kepuasan seksual apabila dia dipaksa atau dsakiti oleh pasangannya. (Baziad, 2011)
Penyelesaian   : diagnosis masokisme pada kasus terlihat dari Ny. N merasa puas ketika suaminya berbuat kasar.
";
144;Seorang bidan di klinik sedang memberikan contoh kepada mahasiswa magang, bagaimana cara memeberikan pelayanan ANC sesuai standar, peran bidan pada kasus tersebut adalah É.;provider;konselor;pendidik;pengelola;perencana;3;"Stase     : komunitas
Kunci masalah    : peran bidan di komunitas
Kompetensi    : pengembangan diri dan profesionalisme
Tinjauan (sub kompetensi)  : peran bidan
Konsep teori   : menurut Syafrudin (2009), peran bidan sebagai provider adalah bila memberikan pelayanan secara langsung dan tidak langsung kepada klien. Sedangkan sebagai pendidik adalah memberi pendidikan kesehatan.
Penyelesaian   : bidan pada kasus sedang melayani pasien, tetapi fokus utamanya adalah memberikan contoh kepada mahasiswa magang bagaimana melayani pasien sesuai standar. Oleh karena itu, peran bidan di atas adalah sebagai pendidik.

";
145;Ny. V usia 30 tahun G2P1A0 UK 30 minggu datang ke Bidan Praktik Mandiri dengan keluhan mengalami keputihan. Hasil pemeriksaan: KU bak, TTV normal, pengeluaran leukorhea perivaginam. Konseling yang tepat adalah ÉÉ;mengurangi minum;memakai pakaian ketat;personal hygiene;memakai sabun kewanitaan;tidak menggunakan celana dalam;3;"Stase     : asuhan kehamilan
Kunci masalah    : penanganan keputihan
Kompetensi    : keterampilan klinis dalam praktik kebidanan
Tinjauan (sub kompetensi)  : konseling dan pendidikan kesehatan
Konsep teori   : menurut Rukiah (2009), keputihan dapat dikurangi/dicegah dengan meningkatkan kebersihan dan memakai pakaian dalam yang terbuat dari katun.
Penyelesaian   : penatalaksannan yang tepat sesuai kasus adalah dengan meningkatkan personal hygiene agar darah kewanitaan tidak mudah lembab, sehingga dapat mengurangi keputihan.
";
